Method,Accuracy,Precision,Recall,F1,AUC,Threshold,binormal_AUC
OFF-o1-q0.99-s0.0,0.998806275579809,1.0,0.72,0.8372093023255814,0.9736598732659701,0.40554058700799955,6.70247522340274
OFF-o1-q0.99-s1.5,0.9986357435197817,1.0,0.68,0.8095238095238095,0.9784278129816749,0.36729790285229685,6.497135833022273
OFF-o3-q0.99-s1.0,0.9986357435197817,1.0,0.68,0.8095238095238095,0.9755095050522351,0.32620026871562013,5.859075820951917
OFF-o2-q0.999-s0.5,0.9991473396998636,0.9545454545454546,0.84,0.8936170212765957,0.9969994862133926,0.6066613912284378,5.7470395355605355
OFF-o3-q0.999-s0.0,0.9991473396998636,0.9166666666666666,0.88,0.8979591836734694,0.9966980647371124,0.5708353377282622,5.702232498190511
OFF-o1-q0.99-s0.5,0.998806275579809,0.95,0.76,0.8444444444444444,0.9758383284809042,0.3647080290317536,5.680956989691473
OFF-o3-q0.999-s0.5,0.9989768076398363,0.9130434782608695,0.84,0.875,0.9986778557972255,0.5416753657460216,5.670370247015013
OFF-o3-q1.0-s1.5,0.9982946793997272,0.7777777777777778,0.84,0.8076923076923077,0.9943825997602329,0.5510228276252747,5.575557084801137
OFF-o2-q0.999-s1.5,0.998806275579809,0.875,0.84,0.8571428571428571,0.9972940572015756,0.4918470155447743,5.566522352028939
OFF-o3-q0.99-s1.5,0.9986357435197817,1.0,0.68,0.8095238095238095,0.9779756807672546,0.32995617508888253,5.483337439522094
OFF-o2-q0.999-s1.0,0.998806275579809,0.8461538461538461,0.88,0.8627450980392157,0.9979996574755952,0.5134900082647809,5.413499258090435
OFF-o2-q0.999-s0.0,0.9991473396998636,0.9166666666666666,0.88,0.8979591836734694,0.9969652337729062,0.6034326819777502,5.38599286431937
OFF-o1-q0.999-s0.5,0.998806275579809,0.875,0.84,0.8571428571428571,0.9985339955471828,0.6274597688019277,5.368256511983058
OFF-o2-q0.99-s1.0,0.998806275579809,1.0,0.72,0.8372093023255814,0.9772837814694297,0.3232892432808876,5.3395900545223025
OFF-o1-q0.999-s0.0,0.9986357435197817,0.8695652173913043,0.8,0.8333333333333334,0.9984380887138208,0.6671933744251735,5.316508643112063
OFF-o1-q0.999-s1.5,0.998806275579809,0.875,0.84,0.8571428571428571,0.9965062510703888,0.5378842035233977,5.311133012760083
OFF-o3-q0.999-s1.0,0.9993178717598908,0.9565217391304348,0.88,0.9166666666666666,0.9986504538448364,0.49138459199667195,5.237229919081245
OFF-o3-q0.99-s0.5,0.9986357435197817,0.9473684210526315,0.72,0.8181818181818182,0.9785442712793286,0.30347246035933495,5.213527761063606
OFF-o2-q1.0-s1.5,0.9979536152796725,0.7096774193548387,0.88,0.7857142857142857,0.997622880630245,0.5664258897304535,5.196802901351572
OFF-o2-q0.99-s1.5,0.998806275579809,1.0,0.72,0.8372093023255814,0.977215276588457,0.3185307256877423,5.185063087032091
OFF-o1-q1.0-s1.5,0.9977830832196453,0.7142857142857143,0.8,0.7547169811320755,0.996958383284809,0.6250956356525421,5.145168385816654
OFF-o3-q1.0-s1.0,0.9972714870395635,0.6285714285714286,0.88,0.7333333333333333,0.9953142661414626,0.5874066352844238,5.079984092338543
OFF-o3-q0.99-s0.0,0.9986357435197817,0.9473684210526315,0.72,0.8181818181818182,0.9793115259462236,0.30317532882094406,5.055707241056645
OFF-o3-q0.999-s1.5,0.998806275579809,0.8461538461538461,0.88,0.8627450980392157,0.995595136153451,0.4345664279758933,5.038154527023744
OFF-o2-q1.0-s1.0,0.9965893587994543,0.5714285714285714,0.8,0.6666666666666666,0.9939236170577154,0.6301943957805634,4.989461979717492
OFF-o1-q0.999-s1.0,0.9986357435197817,0.8148148148148148,0.88,0.8461538461538461,0.997622880630245,0.5327980132102972,4.962877853019288
OFF-o2-q0.99-s0.0,0.9989768076398363,1.0,0.76,0.8636363636363636,0.9774207912313753,0.34771380484104164,4.943079088291416
OFF-o1-q1.0-s1.0,0.9960777626193724,0.525,0.84,0.6461538461538462,0.9969652337729064,0.6592702567577362,4.780311416102327
OFF-o2-q0.99-s0.5,0.9989768076398363,0.9523809523809523,0.8,0.8695652173913043,0.9767288919335503,0.3334694777429104,4.725202155137917
OFF-o3-q1.0-s0.5,0.9945429740791268,0.425531914893617,0.8,0.5555555555555556,0.9936016441171432,0.6757755875587463,4.710967870076838
OFF-o1-q0.99-s1.0,0.9991473396998636,1.0,0.8,0.8888888888888888,0.9744819318376434,0.35494584351778036,4.688352283878125
OFF-o1-q1.0-s0.5,0.9923260572987722,0.3387096774193548,0.84,0.4827586206896552,0.99393731803391,0.729680061340332,4.489343368554703
OFF-o3-q1.0-s0.0,0.9899386084583902,0.27631578947368424,0.84,0.4158415841584158,0.9924439116287035,0.7065370082855225,4.464434351174648
OFF-o2-q1.0-s0.5,0.9933492496589359,0.375,0.84,0.5185185185185185,0.993519438259976,0.6946416795253754,4.427282272855775
OFF-o2-q1.0-s0.0,0.990450204638472,0.2753623188405797,0.76,0.40425531914893614,0.98948450077068,0.7727832198143005,4.411436874434093
OFF-o1-q1.0-s0.0,0.9887448840381992,0.24691358024691357,0.8,0.37735849056603776,0.9893680424730262,0.800758957862854,4.243616299290791
